choices,feedback,role,agent_self_type,agent_other_type,trial,game_id,combination,values
1,0,hider,WSLS,WSLS,67,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,68,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,69,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,70,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,71,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,72,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,73,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,74,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,75,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,76,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,77,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,78,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,79,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,80,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,81,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,82,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,83,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,84,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,85,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,86,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,87,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,88,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,89,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,90,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,91,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,92,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,93,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,94,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,95,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,96,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,97,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,98,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,99,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,100,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,101,2,WSLS_WSLS,NA
